domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.nrk.no,0.040624061669247834,0.1771514035713942,0.38225671817653994,0.20555924293175215,372.0
www.vg.no,0.0524258317678129,0.22528586730035963,0.37980495922083973,0.2515689567544359,159.0
www.aftenposten.no,0.04910389065299779,0.19817183983119163,0.36473442628799774,0.24326392210565664,126.0
e24.no,-0.0744047619047619,0.33231118082223915,0.49642857142857144,0.3540067332633197,7.0
www.shifter.no,-0.10303030303030303,0.349469951520314,0.34878787878787876,0.39940899865847584,5.0
politiken.dk,0.0,1.0,0.0,1.0,1.0
www.bt.dk,0.0,1.0,0.0,1.0,1.0
www.dr.dk,0.0,1.0,0.0,1.0,1.0
